City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Description
277,Naze,28.3667,129.4833,78.3,84,67,14.32,JP,broken clouds
278,Nantucket,41.2835,-70.0995,77.02,86,1,4.61,US,clear sky
279,Tiksi,71.6872,128.8694,42.1,83,12,10.71,RU,few clouds
280,Te Horo,-40.8084,175.1233,49.68,73,50,10.0,NZ,scattered clouds
281,Oranjestad,12.524,-70.027,89.55,55,20,24.16,AW,few clouds
282,Fomboni,-12.28,43.7425,76.19,71,2,14.09,KM,clear sky
283,Flinders,-34.5833,150.8552,53.19,63,24,13.0,AU,few clouds
284,Cienfuegos,22.1461,-80.4356,91.54,55,20,4.61,CU,few clouds
285,La Cruz,23.9167,-106.9,91.47,71,75,1.99,MX,broken clouds
286,Krasnoselkup,65.7,82.4667,59.05,94,100,11.43,RU,overcast clouds
287,Ponta Delgada,37.7333,-25.6667,81.32,65,20,11.5,PT,few clouds
288,Caravelas,-17.7125,-39.2481,72.59,71,93,4.92,BR,overcast clouds
289,Margate,51.3813,1.3862,68.18,64,3,11.27,GB,clear sky
290,Pemberton,50.3164,-122.8027,89.2,35,1,1.74,CA,clear sky
291,Kisesa,-3.0833,34.15,77.2,34,99,6.64,TZ,overcast clouds
292,Kirakira,-10.4544,161.9205,73.6,79,84,7.02,SB,broken clouds
293,Saint-Joseph,-21.3667,55.6167,66.58,67,1,5.53,RE,clear sky
294,Sri Aman,1.2376,111.4621,77.05,94,97,0.0,MY,overcast clouds
295,Kishapu,-3.6167,33.8667,79.09,32,75,11.36,TZ,broken clouds
296,Rio Grande,-32.035,-52.0986,57.31,74,90,4.59,BR,overcast clouds
297,Ambilobe,-13.2,49.05,69.91,85,8,2.73,MG,clear sky
298,Sechura,-5.5569,-80.8222,76.62,55,34,7.25,PE,scattered clouds
299,Datong,40.0936,113.2914,66.16,86,100,3.69,CN,overcast clouds
300,Poum,-20.2333,164.0167,68.74,71,31,8.01,NC,scattered clouds
301,Hervey Bay,-25.2986,152.8535,66.04,73,97,3.0,AU,overcast clouds
302,Avera,33.194,-82.5271,80.11,73,99,10.83,US,moderate rain
303,Pedernales,18.0384,-71.744,87.12,59,99,4.09,DO,overcast clouds
304,Namangan,40.9983,71.6726,81.05,44,90,0.0,UZ,overcast clouds
305,Jalu,29.0331,21.5482,104.97,10,0,11.5,LY,clear sky
306,Aswan,24.0934,32.907,101.14,11,2,7.14,EG,clear sky
307,Coari,-4.085,-63.1414,81.37,65,90,2.55,BR,overcast clouds
308,Borogontsy,62.6683,131.1683,55.26,83,45,2.75,RU,scattered clouds
309,Vanimo,-2.6741,141.3028,78.26,90,42,5.66,PG,scattered clouds
310,Killybegs,54.6333,-8.45,63.45,73,100,6.22,IE,overcast clouds
311,Maroua,10.591,14.3159,83.21,63,82,8.41,CM,broken clouds
312,Fortuna,40.5982,-124.1573,54.52,100,90,5.75,US,overcast clouds
313,Tezu,27.9167,96.1667,78.15,89,71,3.91,IN,broken clouds
314,Toyooka,35.5333,134.8333,75.02,94,41,6.38,JP,scattered clouds
315,Adrar,20.5022,-10.0711,102.94,20,70,6.96,MR,broken clouds
316,Inegol,40.0781,29.5133,85.28,49,0,6.04,TR,clear sky
317,Cuamba,-14.8031,36.5372,66.65,39,0,6.76,MZ,clear sky
318,Ilulissat,69.2167,-51.1,48.22,76,40,4.61,GL,scattered clouds
319,Geraldton,-28.7667,114.6,48.61,81,3,11.5,AU,clear sky
320,Marovoay,-16.1,46.6333,77.14,65,80,6.02,MG,broken clouds
321,San Cristobal,7.7669,-72.225,78.98,51,96,8.3,VE,overcast clouds
322,Saint-Augustin,51.226,-58.6502,70.23,51,38,16.73,CA,scattered clouds
323,Nouakchott,18.0858,-15.9785,89.53,81,83,14.47,MR,broken clouds
324,Dajal,29.5577,70.3762,102.02,32,29,13.94,PK,scattered clouds
325,Rosarito,32.3333,-117.0333,93.94,50,0,11.48,MX,clear sky
326,Riyadh,24.6877,46.7219,104.14,8,43,1.72,SA,scattered clouds
327,Jiangyou,31.7667,104.7167,75.92,84,30,6.04,CN,scattered clouds
328,Mount Isa,-20.7333,139.5,56.97,30,4,13.8,AU,clear sky
329,Sioux Lookout,50.1001,-91.917,79.18,64,90,2.3,CA,smoke
330,Jieshi,22.8134,115.8257,82.94,86,98,3.74,CN,overcast clouds
331,Kemijarvi,66.7131,27.4306,44.65,94,100,18.25,FI,light rain
332,Provideniya,64.3833,-173.3,48.54,99,100,9.57,RU,light rain
333,San Carlos De Bariloche,-41.1456,-71.3082,55.15,41,0,3.44,AR,clear sky
334,Mombetsu,44.3525,143.3525,70.86,95,28,2.98,JP,scattered clouds
335,Praia,14.9215,-23.5087,77.54,88,75,12.66,CV,broken clouds
336,Sabha,27.0377,14.4283,102.81,7,0,8.99,LY,clear sky
337,Batagay-Alyta,67.8006,130.4114,54.61,48,46,5.55,RU,scattered clouds
338,Rio Rancho,35.2334,-106.6645,83.88,47,1,1.01,US,clear sky
339,Byron Bay,-28.65,153.6167,59.88,50,28,13.94,AU,scattered clouds
340,Sobolevo,54.4299,31.8996,63.68,61,69,7.87,RU,broken clouds
