City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
385,Mount Gambier,AU,-37.8333,140.7667,44.51,100,75,8.05
386,Kazachinskoye,RU,57.6953,93.2761,54.34,96,57,3.33
387,Vilhena,BR,-12.7406,-60.1458,82.62,30,0,14.97
388,Lata,PT,40.1629,-8.3327,84.04,60,80,10.67
389,Anaconda,US,46.1285,-112.9423,73.78,60,76,0.94
390,Gusino,RU,54.7244,31.368,66.09,75,82,13.44
391,Tadine,NC,-21.55,167.8833,65.01,73,7,9.31
392,Beohari,IN,24.05,81.3833,74.61,89,84,10.0
393,Kiunga,PG,-6.1219,141.2906,70.79,97,96,2.37
394,Paamiut,GL,61.994,-49.6678,46.72,86,100,13.35
395,Anori,BR,-3.7728,-61.6442,92.23,30,26,3.4
396,Sioux Lookout,CA,50.1001,-91.917,73.78,49,90,6.91
397,Huangpu,CN,25.4433,113.1747,79.72,74,60,1.77
398,Tshikapa,CD,-6.4167,20.8,83.39,19,31,2.62
399,Kodinsk,RU,58.6881,99.1844,59.2,79,97,0.72
400,Udankudi,IN,8.4333,78.0167,83.59,59,95,13.82
401,Yeppoon,AU,-23.1333,150.7333,55.18,90,2,5.93
402,Seoul,KR,37.5683,126.9778,77.76,94,20,2.3
403,Lorengau,PG,-2.0226,147.2712,81.1,81,18,9.1
404,Qianan,CN,44.9932,124.0581,63.66,96,100,11.65
405,Den Helder,NL,52.9599,4.7593,67.95,65,75,8.01
406,Koungheul,SN,13.9833,-14.8,80.62,78,100,15.05
